,CAS-ID,Compound Names,Smiles from CAS IDs,predicted_pIC50_cas_values,distance_to_ensemble_models_for_cas_compounds
56,1860842-89-2,"Carbamic acid, N-[9-[(1S,3R,4S)-4-(acetyloxy)-2-methylene-3-[(triphenylmethoxy)methyl]cyclopentyl]-6,9-dihydro-6-oxo-1H-purin-2-yl]-, 1,1-dimethylethyl ester",Not available,-0.8341717992859881,0.2643443033467836
57,1338781-08-0,"Urea, N-(2-ethoxyethyl)-NÃ¢â‚¬Â²-tricyclo[3.3.1.13,7]dec-1-yl-",Not available,-0.8370362480400471,0.22584638798961923
58,1418741-52-2,"Urea, N-[4-[[6-(1,1-dimethylethyl)-3-(methylthio)-5-oxo-1,2,4-triazin-4(5H)-yl]amino]-6-(4-morpholinyl)-1,3,5-triazin-2-yl]-NÃ¢â‚¬Â²-(2-methylphenyl)-",Not available,-0.8374176448228343,0.24011646842076426
59,622865-55-8,"Carbamic acid, [(1S,2R)-3-[[[4-[[bis(phenylmethoxy)phosphinyl]methoxy]phenyl]sulfonyl](2-methylpropyl)amino]-2-hydroxy-1-[(4-hydroxyphenyl)methyl]propyl]-, (3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl ester",Not available,-0.8385968900225554,0.28775581199298
60,1432060-78-0,Not Yet Assigned,Not available,-0.8396321766326951,0.29493520048107014
61,2361932-53-6,Not Yet Assigned,Not available,-0.839651339951438,0.18575329092829995
62,2243245-28-3,"Hydrazinecarbothioamide, 2-[1,2-dihydro-1-[3-[4-[(2-methyl-5-nitro-1H-imidazol-1-yl)methyl]-1H-1,2,3-triazol-1-yl]propyl]-2-oxo-3H-indol-3-ylidene]-, (2Z)-",Not available,-0.8406324083914756,0.2683474074773665
63,2243245-32-9,"Hydrazinecarbothioamide, 2-[5-chloro-1,2-dihydro-1-[3-[4-[(2-methyl-5-nitro-1H-imidazol-1-yl)methyl]-1H-1,2,3-triazol-1-yl]propyl]-2-oxo-3H-indol-3-ylidene]-, (2Z)-",Not available,-0.8406324083914756,0.2683474074773665
64,2243715-60-6,"Ethanol, 2-[[4-[(7-chloro-4-quinolinyl)amino]pentyl]ethylamino]-, 1-propanoate",Not available,-0.8410651021067517,0.2653351996411247
65,2243715-63-9,"2-Butenedioic acid (2Z)-, 1-[2-[[4-[(7-chloro-4-quinolinyl)amino]pentyl]ethylamino]ethyl] ester",Not available,-0.8410651021067517,0.2653351996411247
66,1947402-13-2,"Phenol, 2-[[(9-ÃŽÂ²-D-arabinofuranosyl-9H-purin-6-yl)amino]methyl]-3-iodo-",Not available,-0.8412482052803509,0.21389788213590283
67,2230750-01-1,"6H-Purin-6-one, 2-(amino-d2)-1,9-dihydro-1-d-9-[(1S,3R,4S)-4-(hydroxy-d)-3-(hydroxymethyl)-2-methylenecyclopentyl]-",Not available,-0.8421647727938876,0.21478200305696313
68,1646142-48-4,"3,4-Pyrrolidinediol, 2-[4-(cyclohexylamino)-5H-pyrrolo[3,2-d]pyrimidin-7-yl]-5-(hydroxymethyl)-, (2S,3S,4R,5R)-",Not available,-0.8425296937965361,0.243892212605515
69,853792-81-1,"1H-Imidazo[4,5-c]quinolin-4-amine, 1-propyl-",Not available,-0.8456438499417767,0.2819253157553044
70,1951478-19-5,"2,4(1H,3H)-Pyrimidinedione, 1-[2-cyano-2-deoxy-5-O-[hydroxy[[hydroxy(phosphonooxy)phosphinyl]oxy]phosphinyl]-ÃŽÂ²-L-arabinofuranosyl]-5-methyl-",Not available,-0.846559248960268,0.2910696921982904
71,195507-26-7,"L-Cysteine, N-(2Ã¢â‚¬Â²,3Ã¢â‚¬Â²-didehydro-3Ã¢â‚¬Â²-deoxy-P-phenyl-5Ã¢â‚¬Â²-thymidylyl)-S-methyl-, methyl ester",Not available,-0.8467490125556254,0.29846079257396346
72,195507-27-8,"L-Aspartic acid, N-(2Ã¢â‚¬Â²,3Ã¢â‚¬Â²-didehydro-3Ã¢â‚¬Â²-deoxy-P-phenyl-5Ã¢â‚¬Â²-thymidylyl)-, dimethyl ester",Not available,-0.8467490125556254,0.29846079257396346
73,2243715-66-2,"Pentanoic acid, 2-[[4-[(7-chloro-4-quinolinyl)amino]pentyl]ethylamino]ethyl ester",Not available,-0.8471232815186364,0.29040643570622476
74,2243715-64-0,"Propanoic acid, 2-hydroxy-, 2-[[4-[(7-chloro-4-quinolinyl)amino]pentyl]ethylamino]ethyl ester",Not available,-0.8471232815186364,0.29040643570622476
75,32465-18-2,"9H-Purin-6-amine, 9-(3,5-O-phosphinico-ÃŽÂ²-D-arabinofuranosyl)-",Nc1ncnc2n(cnc12)[C@@H]3OC4CO[P](O)(=O)OC4[C@@H]3O,-0.8480421860222637,0.21948380358451183
76,71842-71-2,"Acetic acid, 2-[bis(2-methylpropoxy)phosphinyl]-2,2-dichloro-, 1-methylpropyl ester",Not available,-0.8480421860222637,0.21948380358451183
77,2303913-86-0,Not Yet Assigned,Not available,-0.8502213124322516,0.29926543186839727
